Lesson 6: Dimensionless heat transfer - exact 
10400.000, 10400, 0, 8, 16, 22, 26, 27, 26, 22, 16, 8, 0
10500.000, 10500, 0, 8, 16, 22, 26, 27, 26, 22, 16, 8, 0
10600.000, 10600, 0, 8, 16, 21, 25, 26, 25, 21, 16, 8, 0
10700.000, 10700, 0, 8, 15, 21, 25, 26, 25, 21, 15, 8, 0
10800.000, 10800, 0, 8, 15, 21, 24, 26, 24, 21, 15, 8, 0
10900.000, 10900, 0, 8, 15, 21, 24, 25, 24, 21, 15, 8, 0
11000.000, 11000, 0, 8, 15, 20, 24, 25, 24, 20, 15, 8, 0
11100.000, 11100, 0, 8, 14, 20, 23, 25, 23, 20, 14, 8, 0
11200.000, 11200, 0, 7, 14, 20, 23, 24, 23, 20, 14, 7, 0
11300.000, 11300, 0, 7, 14, 19, 23, 24, 23, 19, 14, 7, 0
11400.000, 11400, 0, 7, 14, 19, 22, 24, 22, 19, 14, 7, 0
11500.000, 11500, 0, 7, 14, 19, 22, 23, 22, 19, 14, 7, 0
11600.000, 11600, 0, 7, 13, 18, 22, 23, 22, 18, 13, 7, 0
11700.000, 11700, 0, 7, 13, 18, 21, 23, 21, 18, 13, 7, 0
11800.000, 11800, 0, 7, 13, 18, 21, 22, 21, 18, 13, 7, 0
11900.000, 11900, 0, 7, 13, 18, 21, 22, 21, 18, 13, 7, 0
12000.000, 12000, 0, 7, 13, 17, 20, 22, 20, 17, 13, 7, 0
12100.000, 12100, 0, 7, 12, 17, 20, 21, 20, 17, 12, 7, 0
12200.000, 12200, 0, 6, 12, 17, 20, 21, 20, 17, 12, 6, 0
12300.000, 12300, 0, 6, 12, 17, 20, 21, 20, 17, 12, 6, 0
12400.000, 12400, 0, 6, 12, 16, 19, 20, 19, 16, 12, 6, 0
12500.000, 12500, 0, 6, 12, 16, 19, 20, 19, 16, 12, 6, 0
